school,sex,age,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,paid,activities,absences,G1,G2,G3
MS,F,20,health,other,other,2,3,2,no,yes,no,4,15,14,15
MS,F,18,teacher,services,mother,1,2,0,no,yes,yes,4,8,9,10
MS,F,18,other,other,mother,1,2,0,no,yes,no,0,15,15,15
MS,F,17,at_home,other,mother,1,2,0,no,yes,yes,17,10,10,10
MS,M,18,teacher,teacher,father,1,2,0,no,yes,yes,4,15,14,14
MS,M,18,other,other,mother,2,1,0,no,no,yes,5,7,6,7
MS,M,17,other,services,father,2,2,0,no,no,yes,2,11,11,10
MS,M,19,other,services,mother,2,1,1,no,no,no,0,6,5,0
MS,M,18,other,other,father,2,1,1,no,yes,no,14,6,5,5
MS,F,18,at_home,other,mother,2,3,0,no,yes,no,2,10,9,10
MS,F,18,teacher,at_home,mother,3,1,0,no,yes,yes,7,6,5,6
MS,F,19,services,other,mother,1,3,1,no,no,yes,0,7,5,0
MS,F,18,teacher,services,mother,1,2,0,no,yes,no,0,7,9,8
MS,F,18,other,other,mother,2,2,1,no,no,yes,0,6,5,0
MS,M,20,services,services,other,1,2,2,no,yes,no,11,9,9,9
MS,M,17,services,services,mother,2,1,0,no,no,no,3,14,16,16
MS,M,21,other,other,other,1,1,3,no,no,no,3,10,8,7
MS,M,18,services,other,mother,3,1,0,no,no,no,0,11,12,10
MS,M,19,other,at_home,father,1,1,0,no,no,no,5,8,9,9
